fecha;canal;asesores
2024-04-25;Agencia;7
2024-04-26;App;8
2024-04-26;Telefono;14
2024-04-26;Agencia;4
2024-04-29;App;13
2024-04-29;Telefono;18
2024-04-29;Agencia;4
2024-04-30;App;8
2024-04-30;Telefono;13
2024-04-30;Agencia;5
2024-05-01;App;11
2024-05-01;Telefono;17
2024-05-01;Agencia;7
2024-05-02;App;9
2024-05-02;Telefono;16
2024-05-02;Agencia;4
2024-05-03;App;8
2024-05-03;Telefono;10
2024-05-03;Agencia;4
2024-05-06;App;10
2024-05-06;Telefono;16
2024-05-06;Agencia;9
2024-05-07;App;13
2024-05-07;Telefono;18
2024-05-07;Agencia;9
2024-05-08;App;13
2024-05-08;Telefono;17
2024-05-08;Agencia;5
2024-05-09;App;9
2024-05-09;Telefono;14
2024-05-09;Agencia;5
2024-05-10;App;8
2024-05-10;Telefono;17
2024-05-10;Agencia;7
2024-05-13;App;8
2024-05-13;Telefono;10
2024-05-13;Agencia;8
2024-05-14;App;11
2024-05-14;Telefono;18
2024-05-14;Agencia;8
2024-05-15;App;9
2024-05-15;Telefono;10
2024-05-15;Agencia;8
2024-05-16;App;8
2024-05-16;Telefono;12
2024-05-16;Agencia;4
2024-05-17;App;11
2024-05-17;Telefono;11
2024-05-17;Agencia;4
2024-05-20;App;9
2024-05-20;Telefono;10
2024-05-20;Agencia;8
2024-05-21;App;8
2024-05-21;Telefono;16
2024-05-21;Agencia;9
2024-05-22;App;12
2024-05-22;Telefono;18
2024-05-22;Agencia;6
2024-05-23;App;10
2024-05-23;Telefono;13
2024-05-23;Agencia;9
2024-05-24;App;11
2024-05-24;Telefono;11
2024-05-24;Agencia;6
2024-05-27;App;13
2024-05-27;Telefono;14
2024-05-27;Agencia;7
2024-05-28;App;10
2024-05-28;Telefono;11
2024-05-28;Agencia;4
2024-05-29;App;11
2024-05-29;Telefono;11
2024-05-29;Agencia;4
2024-05-30;App;12
2024-05-30;Telefono;13
2024-05-30;Agencia;8
2024-05-31;App;9
2024-05-31;Telefono;14
2024-05-31;Agencia;4
2024-06-03;App;10
2024-06-03;Telefono;12
2024-06-03;Agencia;7
2024-06-04;App;14
2024-06-04;Telefono;18
2024-06-04;Agencia;9
2024-06-05;App;10
2024-06-05;Telefono;18
2024-06-05;Agencia;4
2024-06-06;App;13
2024-06-06;Telefono;18
2024-06-06;Agencia;6
2024-06-07;App;12
2024-06-07;Telefono;10
2024-06-07;Agencia;4
2024-06-10;App;13
2024-06-10;Telefono;18
2024-06-10;Agencia;5
2024-06-11;App;10
2024-06-11;Telefono;14
2024-06-11;Agencia;8
2024-06-12;App;9
2024-06-12;Telefono;15
2024-06-12;Agencia;5
2024-06-13;App;13
2024-06-13;Telefono;14
2024-06-13;Agencia;8
2024-06-14;App;9
2024-06-14;Telefono;10
2024-06-14;Agencia;7
2024-06-17;App;14
2024-06-17;Telefono;14
2024-06-17;Agencia;4
2024-06-18;App;8
2024-06-18;Telefono;15
2024-06-18;Agencia;5
2024-06-19;App;13
2024-06-19;Telefono;14
2024-06-19;Agencia;5
2024-06-20;App;13
2024-06-20;Telefono;17
2024-06-20;Agencia;8
2024-06-21;App;11
2024-06-21;Telefono;17
2024-06-21;Agencia;4
2024-06-24;App;13
2024-06-24;Telefono;12
2024-06-24;Agencia;8
2024-06-25;App;8
2024-06-25;Telefono;15
2024-06-25;Agencia;8
2024-06-26;App;12
2024-06-26;Telefono;12
2024-06-26;Agencia;7
2024-06-27;App;9
2024-06-27;Telefono;10
2024-06-27;Agencia;6
2024-06-28;App;9
2024-06-28;Telefono;14
2024-06-28;Agencia;8
2024-07-01;App;13
2024-07-01;Telefono;11
2024-07-01;Agencia;6
2024-07-02;App;14
2024-07-02;Telefono;18
2024-07-02;Agencia;7
2024-07-03;App;12
2024-07-03;Telefono;12
2024-07-03;Agencia;5
2024-07-04;App;14
2024-07-04;Telefono;12
2024-07-04;Agencia;5
2024-07-05;App;10
2024-07-05;Telefono;10
2024-07-05;Agencia;4
2024-07-08;App;14
2024-07-08;Telefono;13
2024-07-08;Agencia;6
2024-07-09;App;9
2024-07-09;Telefono;11
2024-07-09;Agencia;7
2024-07-10;App;14
2024-07-10;Telefono;10
2024-07-10;Agencia;7
2024-07-11;App;9
2024-07-11;Telefono;13
2024-07-11;Agencia;7
2024-07-12;App;8
2024-07-12;Telefono;12
2024-07-12;Agencia;4
2024-07-15;App;9
2024-07-15;Telefono;16
2024-07-15;Agencia;6
2024-07-16;App;10
2024-07-16;Telefono;11
2024-07-16;Agencia;6
2024-07-17;App;10
2024-07-17;Telefono;18
2024-07-17;Agencia;7
2024-07-18;App;13
2024-07-18;Telefono;18
2024-07-18;Agencia;6
2024-07-19;App;8
2024-07-19;Telefono;13
2024-07-19;Agencia;6
2024-07-22;App;8
2024-07-22;Telefono;11
2024-07-22;Agencia;8
2024-07-23;App;11
2024-07-23;Telefono;15
2024-07-23;Agencia;9
2024-07-24;App;14
2024-07-24;Telefono;15
2024-07-24;Agencia;7
2024-07-25;App;12
2024-07-25;Telefono;18
2024-07-25;Agencia;4
2024-07-26;App;8
2024-07-26;Telefono;11
2024-07-26;Agencia;4
2024-07-29;App;11
2024-07-29;Telefono;10
2024-07-29;Agencia;8
2024-07-30;App;14
2024-07-30;Telefono;18
2024-07-30;Agencia;9
2024-07-31;App;13
2024-07-31;Telefono;13
2024-07-31;Agencia;6
2024-08-01;App;11
2024-08-01;Telefono;11
2024-08-01;Agencia;9
2024-08-02;App;8
2024-08-02;Telefono;12
2024-08-02;Agencia;4
2024-08-05;App;10
2024-08-05;Telefono;18
2024-08-05;Agencia;6
2024-08-06;App;13
2024-08-06;Telefono;16
2024-08-06;Agencia;6
2024-08-07;App;11
2024-08-07;Telefono;14
2024-08-07;Agencia;8
2024-08-08;App;9
2024-08-08;Telefono;13
2024-08-08;Agencia;7
2024-08-09;App;11
2024-08-09;Telefono;10
2024-08-09;Agencia;6
2024-08-12;App;11
2024-08-12;Telefono;18
2024-08-12;Agencia;4
2024-08-13;App;10
2024-08-13;Telefono;14
2024-08-13;Agencia;5
2024-08-14;App;11
2024-08-14;Telefono;15
2024-08-14;Agencia;7
2024-08-15;App;11
2024-08-15;Telefono;17
2024-08-15;Agencia;9
2024-08-16;App;8
2024-08-16;Telefono;14
2024-08-16;Agencia;4
2024-08-19;App;8
2024-08-19;Telefono;14
2024-08-19;Agencia;8
2024-08-20;App;13
2024-08-20;Telefono;15
2024-08-20;Agencia;4
2024-08-21;App;14
2024-08-21;Telefono;13
2024-08-21;Agencia;9
2024-08-22;App;10
2024-08-22;Telefono;13
2024-08-22;Agencia;5
2024-08-23;App;8
2024-08-23;Telefono;10
2024-08-23;Agencia;4
2024-08-26;App;14
2024-08-26;Telefono;11
2024-08-26;Agencia;7
2024-08-27;App;11
2024-08-27;Telefono;13
2024-08-27;Agencia;9
2024-08-28;App;13
2024-08-28;Telefono;16
2024-08-28;Agencia;7
2024-08-29;App;11
2024-08-29;Telefono;13
2024-08-29;Agencia;5
2024-08-30;App;10
2024-08-30;Telefono;10
2024-08-30;Agencia;6
2024-09-02;App;9
2024-09-02;Telefono;18
2024-09-02;Agencia;7
2024-09-03;App;8
2024-09-03;Telefono;18
2024-09-03;Agencia;5
2024-09-04;App;14
2024-09-04;Telefono;11
2024-09-04;Agencia;7
2024-09-05;App;9
2024-09-05;Telefono;17
2024-09-05;Agencia;9
2024-09-06;App;9
2024-09-06;Telefono;13
2024-09-06;Agencia;5
2024-09-09;App;12
2024-09-09;Telefono;16
2024-09-09;Agencia;8
2024-09-10;App;11
2024-09-10;Telefono;12
2024-09-10;Agencia;9
2024-09-11;App;14
2024-09-11;Telefono;17
2024-09-11;Agencia;7
2024-09-12;App;10
2024-09-12;Telefono;13
2024-09-12;Agencia;9
2024-09-13;App;8
2024-09-13;Telefono;14
2024-09-13;Agencia;4
2024-09-16;App;11
2024-09-16;Telefono;11
2024-09-16;Agencia;9
2024-09-17;App;10
2024-09-17;Telefono;13
2024-09-17;Agencia;6
2024-09-18;App;10
2024-09-18;Telefono;15
2024-09-18;Agencia;8
2024-09-19;App;8
2024-09-19;Telefono;12
2024-09-19;Agencia;5
2024-09-20;App;8
2024-09-20;Telefono;10
2024-09-20;Agencia;4
2024-09-23;App;11
2024-09-23;Telefono;16
2024-09-23;Agencia;6
2024-09-24;App;12
2024-09-24;Telefono;17
2024-09-24;Agencia;7
2024-09-25;App;8
2024-09-25;Telefono;13
2024-09-25;Agencia;7
2024-09-26;App;11
2024-09-26;Telefono;10
2024-09-26;Agencia;8
2024-09-27;App;9
2024-09-27;Telefono;10
2024-09-27;Agencia;4
2024-09-30;App;14
2024-09-30;Telefono;16
2024-09-30;Agencia;8
2024-10-01;App;13
2024-10-01;Telefono;18
2024-10-01;Agencia;8
2024-10-02;App;9
2024-10-02;Telefono;17
2024-10-02;Agencia;5
2024-10-03;App;10
2024-10-03;Telefono;16
2024-10-03;Agencia;7
2024-10-04;App;8
2024-10-04;Telefono;12
2024-10-04;Agencia;7
2024-10-07;App;13
2024-10-07;Telefono;12
2024-10-07;Agencia;7
2024-10-08;App;9
2024-10-08;Telefono;18
2024-10-08;Agencia;4
2024-10-09;App;11
2024-10-09;Telefono;10
2024-10-09;Agencia;4
2024-10-10;App;13
2024-10-10;Telefono;16
2024-10-10;Agencia;5
2024-10-11;App;12
2024-10-11;Telefono;11
2024-10-11;Agencia;4
2024-10-14;App;10
2024-10-14;Telefono;13
2024-10-14;Agencia;7
2024-10-15;App;10
2024-10-15;Telefono;15
2024-10-15;Agencia;7
2024-10-16;App;10
2024-10-16;Telefono;16
2024-10-16;Agencia;6
2024-10-17;App;14
2024-10-17;Telefono;11
2024-10-17;Agencia;7
2024-10-18;App;8
2024-10-18;Telefono;17
2024-10-18;Agencia;5
2024-10-21;App;13
2024-10-21;Telefono;11
2024-10-21;Agencia;9
2024-10-22;App;8
2024-10-22;Telefono;10
2024-10-22;Agencia;5
2024-10-23;App;9
2024-10-23;Telefono;10
2024-10-23;Agencia;8
2024-10-24;App;9
2024-10-24;Telefono;13
2024-10-24;Agencia;5
2024-10-25;App;8
2024-10-25;Telefono;10
2024-10-25;Agencia;4
2024-10-28;App;13
2024-10-28;Telefono;14
2024-10-28;Agencia;6
2024-10-29;App;9
2024-10-29;Telefono;11
2024-10-29;Agencia;5
2024-10-30;App;10
2024-10-30;Telefono;11
2024-10-30;Agencia;8
2024-10-31;App;8
2024-10-31;Telefono;14
2024-10-31;Agencia;8
